e=2, method=EC, possExceptions=[], time=22.43239140510559
e=3, method=EC, possExceptions=[128], time=21.229821920394897
e=5, method=EC, possExceptions=[], time=5.517350196838379
e=7, method=EC, possExceptions=[1157632, 4826816], time=5.434697389602661
e=9, method=EC, possExceptions=[], time=5.909834623336792
e=10, method=EC, possExceptions=[], time=5.100704193115234
e=16, method=EC, possExceptions=[], time=4.769945859909058
e=17, method=EC, possExceptions=[], time=4.776035308837891
e=22, method=EC, possExceptions=[], time=4.379579782485962
e=23, method=EC, possExceptions=[], time=4.350296258926392
e=26, method=EC, possExceptions=[103161735, 9353919069], time=4.46773362159729
e=28, method=EC, possExceptions=[], time=4.941396951675415
e=29, method=EC, possExceptions=[], time=5.009457111358643
e=33, method=EC, possExceptions=[], time=4.571085453033447
e=35, method=EC, possExceptions=[], time=22.676896333694458
e=36, method=EC, possExceptions=[], time=8.964781999588013
e=41, method=EC, possExceptions=[], time=15.830875873565674
e=43, method=EC, possExceptions=[2240, 140651], time=5.429410696029663
e=47, method=EC, possExceptions=[559], time=5.954000949859619
e=52, method=EC, possExceptions=[], time=5.292568922042847
e=53, method=EC, possExceptions=[], time=4.9489829540252686
e=57, method=EC, possExceptions=[56181944, 204595088989976352474536513], time=4.947636604309082
e=59, method=EC, possExceptions=[], time=4.661117076873779
e=63, method=EC, possExceptions=[1770243636736], time=4.421780347824097
e=65, method=EC, possExceptions=[], time=4.313089847564697
e=66, method=EC, possExceptions=[], time=4.464599132537842
e=73, method=EC, possExceptions=[], time=5.185146331787109
e=76, method=EC, possExceptions=[], time=4.692129373550415
e=78, method=EC, possExceptions=[], time=33.05826759338379
e=82, method=EC, possExceptions=[], time=1.8677537441253662
e=85, method=EC, possExceptions=[], time=3.266352653503418
e=89, method=EC, possExceptions=[432], time=3.4379220008850098
e=92, method=EC, possExceptions=[], time=5.265500068664551
e=96, method=EC, possExceptions=[], time=5.379276514053345
e=99, method=EC, possExceptions=[50752], time=6.036776304244995
e=103, method=EC, possExceptions=[], time=5.341603994369507
e=112, method=EC, possExceptions=[], time=5.081958532333374
e=113, method=EC, possExceptions=[], time=4.6234307289123535
e=118, method=EC, possExceptions=[81070295670], time=5.029470205307007
e=119, method=EC, possExceptions=[], time=4.385310649871826
e=120, method=EC, possExceptions=[], time=4.439345359802246
e=122, method=EC, possExceptions=[], time=4.409497261047363
e=126, method=EC, possExceptions=[855], time=34.8062047958374
e=127, method=EC, possExceptions=[], time=3.260606050491333
e=129, method=EC, possExceptions=[], time=3.34894061088562
e=133, method=EC, possExceptions=[27133], time=5.42841362953186
e=141, method=EC, possExceptions=[], time=5.412314414978027
e=146, method=EC, possExceptions=[], time=5.932280778884888
e=149, method=EC, possExceptions=[], time=5.334742784500122
e=151, method=EC, possExceptions=[], time=5.05014705657959
e=155, method=EC, possExceptions=[85339, 314587, 1953280, 1286848396288], time=4.805600643157959
e=160, method=EC, possExceptions=[], time=4.663813352584839
e=163, method=EC, possExceptions=[], time=4.286326169967651
e=169, method=EC, possExceptions=[], time=4.300193548202515
e=170, method=EC, possExceptions=[], time=4.341717481613159
e=179, method=EC, possExceptions=[], time=5.093225717544556
e=183, method=EC, possExceptions=[5096, 25934519, 10662526784], time=34.41395950317383
e=185, method=EC, possExceptions=[], time=3.0584030151367188
e=188, method=EC, possExceptions=[], time=3.2295453548431396
e=193, method=EC, possExceptions=[], time=4.791784763336182
e=197, method=EC, possExceptions=[], time=5.561598300933838
e=202, method=EC, possExceptions=[], time=5.589401960372925
e=209, method=EC, possExceptions=[12376, 857584, 122763473209], time=5.927556276321411
e=210, method=EC, possExceptions=[], time=5.070983648300171
e=211, method=EC, possExceptions=[], time=4.629683494567871
e=217, method=EC, possExceptions=[], time=4.865040063858032
e=225, method=EC, possExceptions=[], time=4.205397129058838
e=236, method=EC, possExceptions=[], time=4.460620403289795
e=244, method=EC, possExceptions=[], time=4.342059850692749
e=246, method=EC, possExceptions=[17822, 31855259], time=5.296902656555176
e=248, method=EC, possExceptions=[], time=42.49017834663391
e=251, method=EC, possExceptions=[], time=5.256122350692749
e=267, method=EC, possExceptions=[], time=5.249948263168335
e=273, method=EC, possExceptions=[64481201273], time=5.895218133926392
e=280, method=EC, possExceptions=[], time=5.380512714385986
e=281, method=EC, possExceptions=[], time=5.050316572189331
e=286, method=EC, possExceptions=[], time=4.623035430908203
e=300, method=EC, possExceptions=[], time=4.696393728256226
e=302, method=EC, possExceptions=[], time=4.285635709762573
e=307, method=EC, possExceptions=[24696], time=4.671019792556763
e=309, method=EC, possExceptions=[], time=4.463534116744995
e=311, method=EC, possExceptions=[], time=5.130065202713013
e=326, method=EC, possExceptions=[], time=4.788925886154175
e=328, method=EC, possExceptions=[], time=4.495790004730225
e=330, method=EC, possExceptions=[], time=34.67341947555542
e=331, method=EC, possExceptions=[], time=3.192469596862793
e=337, method=EC, possExceptions=[], time=3.37416410446167
e=342, method=EC, possExceptions=[2197342, 703069668630, 43584106255884901], time=5.366130113601685
e=349, method=EC, possExceptions=[133000, 1116448593973], time=5.376884698867798
e=351, method=EC, possExceptions=[], time=5.895566701889038
e=359, method=EC, possExceptions=[545338872], time=5.497337579727173
e=363, method=EC, possExceptions=[], time=5.101583480834961
e=369, method=EC, possExceptions=[3744], time=4.7197582721710205
e=370, method=EC, possExceptions=[], time=4.792036771774292
e=378, method=EC, possExceptions=[], time=4.147948741912842
e=385, method=EC, possExceptions=[12245661935113982921], time=4.557371139526367
e=392, method=EC, possExceptions=[], time=4.415477514266968
e=393, method=EC, possExceptions=[], time=5.161545276641846
e=399, method=EC, possExceptions=[], time=22.39599061012268
e=403, method=EC, possExceptions=[], time=9.962552309036255
e=412, method=EC, possExceptions=[6244], time=1.5939996242523193
e=419, method=EC, possExceptions=[], time=2.622772693634033
e=421, method=EC, possExceptions=[], time=3.5544164180755615
e=425, method=EC, possExceptions=[], time=4.449985980987549
e=430, method=EC, possExceptions=[], time=5.417625427246094
e=433, method=EC, possExceptions=[], time=5.470564603805542
e=435, method=EC, possExceptions=[], time=5.95824933052063
e=454, method=EC, possExceptions=[], time=5.1259095668792725
e=459, method=EC, possExceptions=[], time=4.704830169677734
e=463, method=EC, possExceptions=[], time=4.86748194694519
e=477, method=EC, possExceptions=[], time=4.288609266281128
e=481, method=EC, possExceptions=[], time=4.343592166900635
e=486, method=EC, possExceptions=[], time=43.6347291469574
e=489, method=EC, possExceptions=[3112625, 4557782801], time=5.807049751281738
e=491, method=EC, possExceptions=[], time=5.313964605331421
e=496, method=EC, possExceptions=[], time=6.000786304473877
e=501, method=EC, possExceptions=[], time=5.1924426555633545
e=502, method=EC, possExceptions=[], time=4.718268871307373
e=505, method=EC, possExceptions=[1031219363232, 64304802602040609], time=5.142586708068848
e=520, method=EC, possExceptions=[], time=4.3857550621032715
e=528, method=EC, possExceptions=[], time=4.429040431976318
e=532, method=EC, possExceptions=[], time=4.28484034538269
e=537, method=EC, possExceptions=[], time=4.915556192398071
e=538, method=EC, possExceptions=[], time=5.084919691085815
e=539, method=EC, possExceptions=[], time=4.594378471374512
e=545, method=EC, possExceptions=[], time=4.3307390213012695
e=552, method=EC, possExceptions=[], time=22.54285979270935
e=557, method=EC, possExceptions=[301320], time=22.083345413208008
e=560, method=EC, possExceptions=[183056926312], time=5.486341238021851
e=561, method=EC, possExceptions=[], time=5.439692974090576
e=562, method=EC, possExceptions=[], time=5.965456485748291
e=580, method=EC, possExceptions=[], time=5.125524520874023
e=581, method=EC, possExceptions=[], time=4.710731506347656
e=593, method=EC, possExceptions=[], time=4.8104777336120605
e=597, method=EC, possExceptions=[], time=4.308001279830933
e=603, method=EC, possExceptions=[85941273600], time=4.543277740478516
e=610, method=EC, possExceptions=[4706, 37662750818], time=4.402750015258789
e=622, method=EC, possExceptions=[], time=5.078703165054321
e=623, method=EC, possExceptions=[], time=5.105452537536621
e=629, method=EC, possExceptions=[], time=4.553606748580933
e=630, method=EC, possExceptions=[7763022], time=34.7177209854126
e=631, method=EC, possExceptions=[1125495], time=3.303908348083496
e=638, method=EC, possExceptions=[], time=3.4962334632873535
e=645, method=EC, possExceptions=[], time=5.274916410446167
e=652, method=EC, possExceptions=[], time=5.408487319946289
e=653, method=EC, possExceptions=[], time=5.937790393829346
e=664, method=EC, possExceptions=[], time=5.535100221633911
e=676, method=EC, possExceptions=[], time=5.102992296218872
e=687, method=EC, possExceptions=[], time=4.687803030014038
e=689, method=EC, possExceptions=[], time=4.788424491882324
e=697, method=EC, possExceptions=[], time=4.3426947593688965
e=698, method=EC, possExceptions=[], time=4.389758348464966
e=701, method=EC, possExceptions=[7560], time=4.613380432128906
e=706, method=EC, possExceptions=[], time=5.14589262008667
e=708, method=EC, possExceptions=[], time=35.55068373680115
e=713, method=EC, possExceptions=[], time=3.366231918334961
e=714, method=EC, possExceptions=[358625, 21229312503894671], time=4.049263000488281
e=721, method=EC, possExceptions=[], time=5.367700815200806
e=730, method=EC, possExceptions=[], time=5.355745792388916
e=731, method=EC, possExceptions=[], time=5.928462505340576
e=733, method=EC, possExceptions=[], time=5.197824478149414
e=743, method=EC, possExceptions=[], time=4.942594528198242
e=749, method=EC, possExceptions=[], time=4.776546955108643
e=750, method=EC, possExceptions=[], time=4.594328165054321
e=761, method=EC, possExceptions=[], time=4.375996828079224
e=767, method=EC, possExceptions=[], time=4.37114691734314
e=771, method=EC, possExceptions=[], time=4.5824902057647705
e=780, method=EC, possExceptions=[], time=5.2134740352630615
e=794, method=EC, possExceptions=[], time=33.034178018569946
e=799, method=EC, possExceptions=[], time=2.3084447383880615
e=801, method=EC, possExceptions=[16582176], time=3.4447872638702393
e=811, method=EC, possExceptions=[8677049529960], time=3.794365882873535
e=813, method=EC, possExceptions=[8749456705829], time=5.428342819213867
e=820, method=EC, possExceptions=[239148, 649462716], time=5.683035850524902
e=827, method=EC, possExceptions=[12009816], time=6.153846025466919
e=839, method=EC, possExceptions=[], time=5.237224817276001
e=841, method=EC, possExceptions=[], time=4.871313095092773
e=845, method=EC, possExceptions=[], time=4.838346242904663
e=853, method=EC, possExceptions=[], time=4.418141841888428
e=855, method=EC, possExceptions=[], time=4.354543447494507
e=862, method=EC, possExceptions=[], time=4.479084730148315
e=870, EC failed, time=4.937478542327881
e=870, method=MWcurve, possExceptions=[], time=3.852710723876953
e=872, method=EC, possExceptions=[], time=22.57082962989807
e=874, method=EC, possExceptions=[], time=24.0023090839386
e=881, method=EC, possExceptions=[], time=5.293395280838013
e=883, method=EC, possExceptions=[], time=6.035845756530762
e=897, method=EC, possExceptions=[], time=5.412342309951782
e=905, method=EC, possExceptions=[], time=5.100472927093506
e=911, method=EC, possExceptions=[5824, 69832], time=4.684854984283447
e=916, method=EC, possExceptions=[51569], time=4.971124649047852
e=918, method=EC, possExceptions=[92043], time=4.451916933059692
e=924, method=EC, possExceptions=[], time=4.399624586105347
e=929, EC failed, time=4.985306739807129
e=929, method=MWcurve, possExceptions=[], time=4.300530910491943
e=932, method=EC, possExceptions=[], time=4.90631365776062
e=939, method=EC, possExceptions=[], time=4.6582255363464355
e=953, method=EC, possExceptions=[288449], time=4.204089164733887
e=957, method=EC, possExceptions=[], time=35.32951593399048
e=963, method=EC, possExceptions=[], time=3.3633947372436523
e=965, method=EC, possExceptions=[994012957], time=3.7896435260772705
e=966, method=EC, possExceptions=[], time=5.322925567626953
e=976, method=EC, possExceptions=[], time=5.201435327529907
e=981, method=EC, possExceptions=[12817832672808], time=5.9066033363342285
e=987, method=EC, possExceptions=[], time=5.357851028442383
e=995, method=EC, possExceptions=[], time=5.321796417236328
e=997, method=EC, possExceptions=[], time=4.912837266921997
